track_id,track_name,artist_name,genre,year,popularity,duration_ms,explicit,danceability,energy,key,key_name,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min
T00000,Soul Breathe Stay,Simon & Garfunkel,folk,1995,34.0,257128,1,0.5596056983613479,0.4634082838594578,0,C,-11.408423157804856,1,0.07158425631014784,0.6078523925497995,0.03126904344406556,0.2013947783322327,0.6365839368581246,139.41453741534445,3,4.29
T00001,Breathe Gold,The Chainsmokers,electronic,1963,40.0,212231,0,0.7260733729802317,0.5587450987306398,8,G#,-9.779241312152479,1,0.02772779488642483,0.0,0.4215861807471297,0.08779937189755557,0.7210665428314426,136.16445080951328,3,3.54
T00002,Free,Jimmy Cliff,reggae,2014,50.0,197691,0,0.6764493820379853,0.5610922589709867,11,B,-8.033743061844834,1,0.05593173551082412,0.2159105834113673,0.022498375012403395,0.30818225476071504,0.5073509633866546,83.75698018345672,4,3.29
T00003,Silver Forever Shout,Black Sabbath,metal,1965,20.0,326422,0,0.4967218695907348,0.8240928531646415,10,A#,-6.6665884270737745,0,0.10527044155794443,0.11161838345693904,0.15279574740807936,0.08918231914214031,0.5137988396536507,214.45782603881102,4,5.44
T00004,Fade,Megadeth,metal,1968,2.0,261447,0,0.4912341947482154,0.7942175906782359,9,A,-5.178435046445277,1,0.11123998089983804,0.0,0.21175144332613016,0.2638152107204579,0.39861259540921923,135.37294298959208,4,4.36
T00005,Whisper,Bon Iver,folk,2007,59.0,278648,0,0.6319576370941784,0.4586721454475214,2,D,-10.227411235084556,1,0.045931227686579416,0.4883225708979779,0.11678363353843427,0.05697360987876145,0.4461310044364659,133.2348942046126,4,4.64
T00006,Red Fire Sun,John Lee Hooker,blues,2019,40.0,267855,0,0.5464173960890049,0.7377572386976807,2,D,-9.659015663512536,0,0.05275282329606507,0.46566847228287084,0.050099264953413214,0.00124310853991072,0.0,126.43805008750448,4,4.46
T00007,Alive Never,Franz Schubert,classical,1987,42.0,353606,0,0.37437112837712266,0.25454062939460487,1,C#,-16.946680236271003,1,0.03314512895863172,0.9958186652932027,0.8808540244067535,0.1823117280129866,0.3231636170728499,110.04344994574416,4,5.89
T00008,Cry,Travis Scott,hip-hop,1993,48.0,186920,0,0.7486313477494274,0.4743782062241458,11,B,-5.685429033053539,0,0.07846292579495857,0.12051134566424608,0.018270643331242627,0.11055482740642487,0.6033016498716237,99.698994899238,3,3.12
T00009,Smile Star,Aretha Franklin,soul,1980,30.0,196928,0,0.44776850668042645,0.4868331829839285,2,D,-9.29782784164404,1,0.030222414617904272,0.09897430670146651,0.0,0.18921129142947002,0.8327125729586727,104.66608551879048,3,3.28
T00010,Yesterday,Simon & Garfunkel,folk,1994,29.0,159907,0,0.4769166842262653,0.5161856810800335,10,A#,-5.791617067191702,1,0.05582063894086094,0.8557081066127037,0.11015464261494194,0.0672490036164209,0.5137518814530562,90.96379532284843,4,2.67
T00011,Wild,Shakira,latin,1973,13.0,231090,0,0.7861515958867658,0.6706567517796673,8,G#,-7.9457470733506135,1,0.08172303515837288,0.28483072987624547,0.020365773829605496,0.18543607128403744,0.8384743912512929,130.59907430517694,4,3.85
T00012,Moon Fire,Desmond Dekker,reggae,2001,68.0,271272,0,0.657339736613101,0.5177938483794324,0,C,-7.350293014378941,1,0.0157006706175509,0.3318443908445781,0.11842856525694569,0.17477070868258435,0.8020275826054505,67.69135683566044,4,4.52
T00013,Fall Touch Found,Foo Fighters,rock,2022,37.0,263052,0,0.4459424612740537,0.8817640845511144,11,B,-0.6872358462144976,1,0.013494353229222832,0.1647401432576639,0.0639866409593177,0.25394779138566925,0.7190727434564198,134.5257653899775,4,4.38
T00014,Run Rise Moon,Frédéric Chopin,classical,1985,45.0,277628,0,0.4158595579007404,0.18151812179779478,8,G#,-23.33708657775314,0,0.027546118839971295,0.962206015999449,1.0,0.054775830138550634,0.5734077032639779,107.38342780809495,4,4.63
T00015,Dreams,Bruno Mars,pop,1989,27.0,201259,0,0.696040549180619,,8,G#,-3.5456399983738534,1,0.05861881375620766,0.1612518516182336,0.0,0.06258890617537115,0.6806940005537994,159.01633238592612,3,3.35
T00016,Moon Fall,Maluma,latin,2022,66.0,177627,0,0.762122977173932,0.7914000494092092,4,E,-5.0718125117395925,0,0.07767425239664895,0.0783847538317914,0.0,0.19994791560264308,0.7709856436860317,103.9075663101469,4,2.96
